x,vy,signal,sideslipFR,pitchrate,FxFL,sideslipFL,ay,slip1,signal,steeringangel,longslipFR,FyFL,y,FyRR,sideslipRR,roll,sideslipRL,FxRR,FR,vx,longslipRR,FxRL,yawrate,gas,longslipRL,FyRL,RR,longslipFL,ax,FxFR,FyFR,pitch,brake,FL,RL,slip,rollrate,az,yaw
4564.031148895404,-0.0010939393576375,0.958851077208406,0.0237905320480977,-0.046925667762734,-96.3360739533003,-0.0229161691558544,-0.054538445801811,0.0,0.0,0.0,-0.0007543069471877,1697.5714493139055,-4850.897487218907,2484.533042889721,-0.0266146655148832,-0.0002771276737881,0.0268682126983211,1843.2341200325425,0.8661844588306769,0.2677362307381611,0.0112530921725208,1847.289074730237,3.8422789853040577e-05,0.0207933062580364,0.0112478834566858,-2523.105900383817,1.153533310345822,-0.0007377030948047,2.215167106580308,-96.37023572865724,-1740.0670377511883,-0.0039114943500079,0.0,0.8660185916270275,1.155611790660029,0.0,0.0022229384888734,0.07974794661591,-0.0342938844124563
4564.0339431953535,-0.0015734505507852,1.0453744578613184,0.0212460377681721,-0.0409918611788648,-92.96308518032389,-0.0208008221762278,-0.0401542663569688,0.0,0.0,0.0,-0.0007021759969983,1588.0800075895163,-4850.897596800804,2368.952081439491,-0.0241815306510916,-0.000250224788684,0.0243076638751021,1704.0929505798304,0.9220550927563116,0.2891152180026386,0.0101139379734229,1701.958199503394,2.726192229612939e-05,0.023738773640627,0.0100922750218477,-2395.9303261309165,1.171520484684103,-0.0006984121460398,2.046467509166946,-92.58829373630527,-1619.413233430542,-0.0043486984361694,0.0,0.9213407917583072,1.1745430561276626,0.0,0.0030684037451325,0.0712022032392927,-0.0342935757902918
4564.036942464956,-0.0019519689364154,1.1292849467900707,0.0183877120035257,-0.0345928975143535,-91.32182026292402,-0.0180006898072922,-0.036417517303795,0.0,0.0,0.0,-0.0006719600984488,1439.298309483466,-4850.897717549044,2181.322615477194,-0.0213906027392302,-0.0002154496921707,0.0215562027309003,1594.7028768973437,0.9721558719088816,0.3090064447325649,0.0091592680947084,1593.878485927289,2.432777368062516e-05,0.0263928761057235,0.0091437627360997,-2207.2155657569288,1.192704021162902,-0.0006679972897047,1.913953225957452,-91.29515449823649,-1466.5581051557735,-0.0047236286952776,0.0,0.9712561607407496,1.197142647639603,0.0,0.0037795849395187,0.0667316925901753,-0.0342933300804317
4564.040132996234,-0.0022623406285616,1.210372811472079,0.0153261037496732,-0.028122148721579,-89.90108522680748,-0.015099893062093,-0.026748249168417,0.0,0.0,0.0,-0.0006463159975122,1265.7753326800373,-4850.897848329791,1944.3072976535416,-0.0182836381163496,-0.0001744778275353,0.0183918403861059,1493.5308847503236,1.018041690782612,0.3275652675101271,0.0083779832266294,1492.4478138789923,2.027723489843392e-05,0.0287366607881435,0.008361856064043,-1962.1210869078143,1.21784195123714,-0.0006440385416258,1.7887188056854106,-89.88018778842293,-1286.010637618629,-0.0050338849518258,0.0,1.0169418509139911,1.2232685825553244,0.0,0.0043418371829058,0.060755422782141,-0.0342931042800075
4564.04350215227,-0.0024947749748979,1.2884353744753825,0.0123680629684257,-0.0218938151632907,-89.0650483796532,-0.0122391090266682,-0.0208881483695548,0.0,0.0,0.0,-0.0006247078425351,1078.6322003783246,-4850.89798787265,1669.9730853315143,-0.0150600831186874,-0.0001285996972484,0.0151586966291794,1404.694944314721,1.0606307244911397,0.3449234833142465,0.0077351136314748,1404.3705110237606,1.801247760894426e-05,0.0308018922333784,0.0077330435352652,-1684.496352984375,1.2458737338699262,-0.0006235380465655,1.6770180176492056,-89.16831507940482,-1093.9152145515704,-0.0052805476881264,0.0,1.0593809042055995,1.252480650445977,0.0,0.0047650360192834,0.0538322183206689,-0.034292917868672
4564.047038735794,-0.0026176711640354,1.3632775200466682,0.0094208528292618,-0.0161676263645986,-88.9289599147211,-0.009767706570558,0.0030441352142396,0.0,0.0,0.0,-0.0006131846004284,895.5383668234955,-4850.898135016095,1391.464546390003,-0.0121814417641423,-8.038132722839532e-05,0.0118777230224811,1345.2410504792213,1.1006196526603351,0.3612428117757644,0.0075036304845935,1345.6664693493408,1.1352949937313002e-05,0.0325546088439075,0.007494760009626,-1388.3880702393417,1.28423740010682,-0.0006147643206942,1.601295544861066,-89.03804157846426,-895.1417491018523,-0.0054674302578628,0.0,1.099301896984924,1.2908247867258866,0.0,0.004805873049191,0.0400054406530102,-0.0342927583842367
4564.050735407366,-0.0025321299092445,1.4347121817990456,0.0071820526190379,-0.0112549517157868,-90.20624715491212,-0.0072529116768429,0.0070728677919434,0.0,0.0,0.0,-0.0006139532688085,717.1191428207463,-4850.8982876171685,1116.0686228918491,-0.0092493349654558,-3.263009580376422e-05,0.0092901263144819,1334.6406822421625,1.1403365898373532,0.3771220664201414,0.0074093881309448,1334.8033032306828,5.74784611308935e-06,0.0332002714785289,0.0074325812916832,-1110.048933101627,1.3265186759498109,-0.0006135007332832,1.5813964860724006,-90.49684335287051,-709.9585460986251,-0.0056013591873256,0.0,1.1391236832525329,1.3339105831072344,0.0,0.0047296761485439,0.0342372616119573,-0.0342926933838106
4564.054589533363,-0.0024429125597225,1.5025608102805854,0.0050594339161796,-0.0072035192398555,-91.12424302042254,-0.0052965616171111,0.0129128697426662,0.0,0.0,0.0,-0.0006113449232531,552.4638679191977,-4850.898444706272,866.2144265395394,-0.0069735459896763,1.3481978419399913e-05,0.0067931182807317,1319.7907279258748,1.1809907575086311,0.3927663198736774,0.007344374552525,1319.9425466769974,9.69716968963479e-06,0.0330940095640681,0.0073627193618196,-857.355740545418,1.3700470544860106,-0.0006122542787178,1.5569142696507725,-91.4559957534473,-543.0504417389479,-0.0056909322485259,0.0,1.179738651204942,1.377190688226946,0.0,0.0045067787640498,0.0298019889479095,-0.0342926097015916
4564.05859880598,-0.0022939227144972,1.5666538192549666,0.0033895537194349,-0.0039623923302095,-92.0869979450958,-0.0035638101260852,0.0148281559489644,0.0,0.0,0.0,-0.0006099544227309,407.4254628201199,-4850.898605904596,648.6752279967916,-0.0049207055242863,5.725503599436499e-05,0.00483726871862,1307.6447378593691,1.2223696934282693,0.4081974991264853,0.0072835171719519,1307.993641841941,7.405161806044985e-06,0.0326825547377635,0.0073121663986012,-637.3802411555527,1.4139292420307026,-0.0006107136476726,1.5361973177723518,-92.47166039254606,-395.35922343743977,-0.0057445043650391,0.0,1.2211686316305532,1.4211382501069465,0.0,0.0042618558408137,0.0263408039023761,-0.0342925269686624
4564.062761205812,-0.0021341337139502,1.6268310095787477,0.0019886128577854,-0.001445551884793,-92.88426636586264,-0.0022148613342221,0.0174552863522413,0.0,0.0,0.0,-0.0006096113251026,283.0438921485759,-4850.898770787804,465.46063510326553,-0.0033310611460044,9.81322554932072e-05,0.0031667620732875,1295.4361914781484,1.2643667178986198,0.4234264320927451,0.007241691916266,1295.948181981486,9.144388938348998e-06,0.0321500608867,0.007275760194252,-453.1849313008564,1.4583228216982325,-0.0006107060526607,1.5161826470938256,-93.30889684177072,-269.5710982715676,-0.0057697279755399,0.0,1.2632131460098046,1.4653054803103855,0.0,0.0039371221406629,0.0229585077904793,-0.0342924437225976
4564.067074793939,-0.0019445892710254,1.682941969615793,0.0009087621219138,0.0004427301781063,-93.51528745544236,-0.0011349073784575,0.0193978672499653,0.0,0.0,0.0,-0.0006094068587132,180.49850167386225,-4850.89893910851,317.30827901212234,-0.0020539494634088,0.0001355440537171,0.0019024957062621,1283.5201684322103,1.3068530684979898,0.4384667635783058,0.0072032464530985,1284.3003638850537,8.11036632487015e-06,0.0315592475484911,0.0072466309444303,-302.9336571666443,1.502591542668889,-0.0006106417993497,1.497486445217593,-93.96644479424738,-165.11530095962712,-0.0057733118853736,0.0,1.3057860578581155,1.5092289049784438,0.0,0.0035699093906325,0.0172407463628837,-0.0342923563305832
