x,FyRL,roll,sideslipRL,slip,FL,signal,vx,pitch,yawrate,FxFR,FyFL,RR,longslipFR,rollrate,RL,sideslipFR,longslipFL,sideslipRR,pitchrate,signal,ax,brake,gas,FyRR,longslipRL,y,FxRR,steeringangel,FxFL,FxRL,sideslipFL,slip1,FyFR,vy,FR,yaw,ay,az,longslipRR
4564.035066509832,-1351.6649883693842,-0.0011357784925725,0.0435102033928989,0.0,1.405140743579902,0.0,0.4170630637103089,-0.0058590546746494,0.0005679682055388,-152.48597225917942,2187.1494293861388,7.805625704554581,-0.001630234565404,-0.0135910025692964,6.875528494037325,0.0361951783315439,-0.0015360157547776,-0.0497081351952994,-0.1096179053383727,0.958851077208406,5.796802897172385,0.0,0.6557313208327232,1275.518444011427,0.1963192376047967,-4850.897216734666,4738.3197499293965,0.0,-154.6571127384935,4856.476162093222,-0.0344289950888073,0.0,-2194.338688876911,0.006404780379608,1.4016210215686824,-0.0342846018464152,-0.0513237510456722,-0.2145674636454676,0.2320704987590252
4564.039557987662,-1118.5351920747596,-0.0012649713428077,0.041916130992499,0.0,1.593274550797115,0.0,0.4755034280462669,-0.0069845022528098,0.000607793172955,-153.74304410021816,2134.3320545177357,8.438155569843374,-0.0016516357318758,-0.0123141374852281,7.25052155865632,0.035503090601468,-0.00154630073339,-0.0473169192926693,-0.1147317610309858,1.0453744578613184,5.883299617753812,0.0,0.6471024902742691,1040.5611490728056,0.2293071463429448,-4850.897309903534,4802.690134819714,0.0,-156.14080447322934,4927.623502839371,-0.0333036314587615,0.0,-2147.379610313847,0.0058333257521627,1.590338320768843,-0.0342786734191293,-0.0603990653163762,-0.228383598603748,0.2794079212238244
4564.044638326983,-928.613754527463,-0.0013799857495357,0.0391809697884155,0.0,1.7834136655983095,0.0,0.5347995557019972,-0.0081533337275297,0.0006246071685329,-151.8237968501871,2048.626009474103,8.992784616470066,-0.0016128453001404,-0.0108137005571557,7.530060375751884,0.0341656287096589,-0.0015043543286235,-0.0438200273523744,-0.1184419025903356,1.1292849467900707,5.971870412891276,0.0,0.6396754936705821,837.7429504970495,0.2616479374302887,-4850.897429590939,4862.415769828443,0.0,-154.14866685881316,4997.479339886642,-0.0318305977578511,0.0,-2071.3568593692394,0.0051414652436221,1.78126203436805,-0.0342724950074327,-0.075941791265351,-0.2339596454450553,0.3295727105255519
4564.0503162164205,-772.536984369555,-0.0014790786745684,0.0360715275104146,0.0,1.973230930236637,0.0,0.5949774056217698,-0.0093521524639442,0.0006400615526205,-151.28945900060944,1947.2346528149117,9.49334815661074,-0.0015882145158272,-0.0091413571914418,7.73097979387937,0.0325995593336569,-0.0014756421912384,-0.0401683702877314,-0.1208777197167566,1.210372811472079,6.063759874888273,0.0,0.6326081742909814,671.5435523376492,0.2922492495382495,-4850.897577435106,4925.991090747674,0.0,-153.73199418325405,5073.848359400582,-0.0302433420583179,0.0,-1973.267993149516,0.0043279478216355,1.971785767102628,-0.0342661636264349,-0.0847360618538856,-0.2225529470292122,0.3818779064037586
4564.05660079194,-648.7332532247287,-0.0015604721328402,0.0331273575758374,0.0,2.163289480700752,0.0,0.6560976695559513,-0.0105687941991878,0.0006473387573083,-150.71288322819652,1837.9876751646384,9.955493690477804,-0.0015684614064671,-0.0072963333494375,7.86663296478843,0.0309906169961358,-0.0014567229400616,-0.0366840979520084,-0.1221355961047631,1.2884353744753825,6.16165897574527,0.0,0.6255260681917483,540.4790355872002,0.3198170987605948,-4850.897754705445,4995.198814507462,0.0,-153.316699057728,5155.0501551397,-0.028603280490399,0.0,-1867.6473509300315,0.0034327208556771,2.1625806104499525,-0.0342597109940582,-0.0921979407907649,-0.1982513067578908,0.435765426512566
4564.063501762192,-552.8206732914896,-0.0016226288896395,0.0304497909942563,0.0,2.3540786002091973,0.0,0.7182069364837037,-0.0117917990209238,0.000641664142844,-150.28885752332238,1727.0780245533117,10.384185483378689,-0.0015445170816629,-0.0053133697693187,7.945954530356343,0.0293276051296895,-0.0014378320765304,-0.0334784055523189,-0.1222702660230382,1.3632775200466682,6.262699308867074,0.0,0.6183121942333448,438.7611695585978,0.3437631567153004,-4850.897962465931,5068.512416843892,0.0,-152.93847920762448,5237.549897846527,-0.0269793481530005,0.0,-1759.511316461673,0.0024697575855915,2.3540985948000195,-0.0342532609521884,-0.0984754178004188,-0.16423065151954,0.4908616323645604
4564.071029135801,-478.5622702840787,-0.0016643727884537,0.0279733906837986,0.0,2.5457050877166987,0.0,0.7813252685407507,-0.0130101757453414,0.0006298757972485,-150.05442780125338,1617.1911971087577,10.780573839005813,-0.001522080999123,-0.0032305408944073,7.977357537493217,0.0276299291614626,-0.0014217730673521,-0.0305449323524683,-0.1213248488539665,1.4347121817990456,6.364200859596117,0.0,0.6109674384152325,359.90627651117524,0.3636961975611095,-4850.898201641107,5144.236174933355,0.0,-152.66914125421576,5318.649710456209,-0.0253798193118051,0.0,-1651.6547521477598,0.0014537437526991,2.546430504211911,-0.0342469071775039,-0.1033548090000698,-0.1231218576577225,0.5467368654437808
4564.079192959458,-420.0580832944358,-0.0016849121743079,0.0256171260764494,0.0,2.738225035360362,0.0,0.8454479292002514,-0.0142133611478176,0.00061946726184,-149.95188127560837,1509.9262716730436,11.145274085724049,-0.0015026831798313,-0.001084586404584,7.967941112559927,0.0259222112643252,-0.0014097403085529,-0.0278308018218888,-0.119343495983376,1.5025608102805854,6.464049876986471,0.0,0.603534106230745,298.15561362003893,0.3793023593314936,-4850.8984730007405,5219.727705687543,0.0,-152.49627471467315,5397.471628898082,-0.0237957378727345,0.0,-1544.8303881633303,0.0004020492615647,2.7396592456695115,-0.0342406686165202,-0.1061029761445933,-0.0773589118831115,0.6029812064574169
4564.088003100459,-372.70969656112896,-0.0016838427818866,0.0233282701106569,0.0,2.931686445224846,0.0,0.910550173152241,-0.0153912758321476,0.0006119007599315,-149.91285151856002,1405.2297909539247,11.479587370007444,-0.0014855599073846,0.0010813563957831,7.923251573235341,0.0242117298512662,-0.0014005360049693,-0.0252859968250923,-0.1163783374796794,1.5666538192549666,6.56041492612578,0.0,0.5960627208900899,248.99476473844732,0.3902682275023797,-4850.898777128521,5293.5800341108,0.0,-152.3886451236468,5472.448733759736,-0.0222379621367184,0.0,-1440.3322670584655,-0.0006699656239584,2.9338307385137954,-0.0342345179713672,-0.1076824428464868,-0.028974763469743,0.6592354604074758
4564.097469069991,-333.2502973761636,-0.0016611973165954,0.0210808004449549,0.0,3.1260942596655727,0.0,0.9765927083934112,-0.0165344083332784,0.0006107871353151,-149.96975129041596,1304.0419033304534,11.784042839500504,-0.0014713507401475,0.0032268109875876,7.848859464118542,0.0225077013609479,-0.0013935391223336,-0.0228828969657323,-0.1124902816169206,1.6268310095787477,6.652516844676934,0.0,0.5885986984499124,209.17891544691136,0.3963655672568278,-4850.899114453012,5365.449178234634,0.0,-152.3014663137914,5542.713060673845,-0.0207072258308275,0.0,-1338.0070244347232,-0.0017466416962097,3.128940750648713,-0.0342284132009674,-0.1073907993545079,0.0202448809843212,0.7150702952075341
