yawrate,brake,FxRL,FyRL,signal,slip,ax,FL,FyFL,FyRR,FyFR,az,sideslipRL,steeringangel,sideslipFR,y,longslipFR,longslipFL,RR,ay,gas,pitchrate,pitch,roll,FxFL,slip1,vy,yaw,RL,signal,FxFR,x,FxRR,longslipRR,sideslipRR,vx,sideslipFL,FR,longslipRL,rollrate
2.027723489843392e-05,0.0,1492.4478138789923,-1962.1210869078143,2.0088590741232872,0.0,1.7887188056854106,1.0169418509139911,1265.7753326800373,1944.3072976535416,-1286.010637618629,0.060755422782141,0.0183918403861059,0.0,0.0153261037496732,-4850.897848329791,-0.0006463159975122,-0.0006440385416258,1.21784195123714,-0.026748249168417,0.0287366607881435,-0.028122148721579,-0.0050338849518258,-0.0001744778275353,-89.90108522680748,0.0,-0.0022623406285616,-0.0342931042800075,1.2232685825553244,0.0,-89.88018778842293,4564.040132996234,1493.5308847503236,0.0083779832266294,-0.0182836381163496,0.3275652675101271,-0.015099893062093,1.018041690782612,0.008361856064043,0.0043418371829058
1.801247760894426e-05,0.0,1404.3705110237606,-1684.496352984375,2.1553244709090515,0.0,1.6770180176492056,1.0593809042055995,1078.6322003783246,1669.9730853315143,-1093.9152145515704,0.0538322183206689,0.0151586966291794,0.0,0.0123680629684257,-4850.89798787265,-0.0006247078425351,-0.0006235380465655,1.2458737338699262,-0.0208881483695548,0.0308018922333784,-0.0218938151632907,-0.0052805476881264,-0.0001285996972484,-89.0650483796532,0.0,-0.0024947749748979,-0.034292917868672,1.252480650445977,0.0,-89.16831507940482,4564.04350215227,1404.694944314721,0.0077351136314748,-0.0150600831186874,0.3449234833142465,-0.0122391090266682,1.0606307244911397,0.0077330435352652,0.0047650360192834
1.1352949937313002e-05,0.0,1345.6664693493408,-1388.3880702393417,2.2998173256802863,0.0,1.601295544861066,1.099301896984924,895.5383668234955,1391.464546390003,-895.1417491018523,0.0400054406530102,0.0118777230224811,0.0,0.0094208528292618,-4850.898135016095,-0.0006131846004284,-0.0006147643206942,1.28423740010682,0.0030441352142396,0.0325546088439075,-0.0161676263645986,-0.0054674302578628,-8.038132722839532e-05,-88.9289599147211,0.0,-0.0026176711640354,-0.0342927583842367,1.2908247867258866,0.0,-89.03804157846426,4564.047038735794,1345.2410504792213,0.0075036304845935,-0.0121814417641423,0.3612428117757644,-0.009767706570558,1.1006196526603351,0.007494760009626,0.004805873049191
5.74784611308935e-06,0.0,1334.8033032306828,-1110.048933101627,2.442174202548106,0.0,1.5813964860724006,1.1391236832525329,717.1191428207463,1116.0686228918491,-709.9585460986251,0.0342372616119573,0.0092901263144819,0.0,0.0071820526190379,-4850.8982876171685,-0.0006139532688085,-0.0006135007332832,1.3265186759498109,0.0070728677919434,0.0332002714785289,-0.0112549517157868,-0.0056013591873256,-3.263009580376422e-05,-90.20624715491212,0.0,-0.0025321299092445,-0.0342926933838106,1.3339105831072344,0.0,-90.49684335287051,4564.050735407366,1334.6406822421625,0.0074093881309448,-0.0092493349654558,0.3771220664201414,-0.0072529116768429,1.1403365898373532,0.0074325812916832,0.0047296761485439
9.69716968963479e-06,0.0,1319.9425466769974,-857.355740545418,2.582232488104391,0.0,1.5569142696507725,1.179738651204942,552.4638679191977,866.2144265395394,-543.0504417389479,0.0298019889479095,0.0067931182807317,0.0,0.0050594339161796,-4850.898444706272,-0.0006113449232531,-0.0006122542787178,1.3700470544860106,0.0129128697426662,0.0330940095640681,-0.0072035192398555,-0.0056909322485259,1.3481978419399913e-05,-91.12424302042254,0.0,-0.0024429125597225,-0.0342926097015916,1.377190688226946,0.0,-91.4559957534473,4564.054589533363,1319.7907279258748,0.007344374552525,-0.0069735459896763,0.3927663198736774,-0.0052965616171111,1.1809907575086311,0.0073627193618196,0.0045067787640498
7.405161806044985e-06,0.0,1307.993641841941,-637.3802411555527,2.7198305873960047,0.0,1.5361973177723518,1.2211686316305532,407.4254628201199,648.6752279967916,-395.35922343743977,0.0263408039023761,0.00483726871862,0.0,0.0033895537194349,-4850.898605904596,-0.0006099544227309,-0.0006107136476726,1.4139292420307026,0.0148281559489644,0.0326825547377635,-0.0039623923302095,-0.0057445043650391,5.725503599436499e-05,-92.0869979450958,0.0,-0.0022939227144972,-0.0342925269686624,1.4211382501069465,0.0,-92.47166039254606,4564.05859880598,1307.6447378593691,0.0072835171719519,-0.0049207055242863,0.4081974991264853,-0.0035638101260852,1.2223696934282693,0.0073121663986012,0.0042618558408137
9.144388938348998e-06,0.0,1295.948181981486,-453.1849313008564,2.85480812177308,0.0,1.5161826470938256,1.2632131460098046,283.0438921485759,465.46063510326553,-269.5710982715676,0.0229585077904793,0.0031667620732875,0.0,0.0019886128577854,-4850.898770787804,-0.0006096113251026,-0.0006107060526607,1.4583228216982325,0.0174552863522413,0.0321500608867,-0.001445551884793,-0.0057697279755399,9.81322554932072e-05,-92.88426636586264,0.0,-0.0021341337139502,-0.0342924437225976,1.4653054803103855,0.0,-93.30889684177072,4564.062761205812,1295.4361914781484,0.007241691916266,-0.0033310611460044,0.4234264320927451,-0.0022148613342221,1.2643667178986198,0.007275760194252,0.0039371221406629
8.11036632487015e-06,0.0,1284.3003638850537,-302.9336571666443,2.987006128393709,0.0,1.497486445217593,1.3057860578581155,180.49850167386225,317.30827901212234,-165.11530095962712,0.0172407463628837,0.0019024957062621,0.0,0.0009087621219138,-4850.89893910851,-0.0006094068587132,-0.0006106417993497,1.502591542668889,0.0193978672499653,0.0315592475484911,0.0004427301781063,-0.0057733118853736,0.0001355440537171,-93.51528745544236,0.0,-0.0019445892710254,-0.0342923563305832,1.5092289049784438,0.0,-93.96644479424738,4564.067074793939,1283.5201684322103,0.0072032464530985,-0.0020539494634088,0.4384667635783058,-0.0011349073784575,1.3068530684979898,0.0072466309444303,0.0035699093906325
1.2490143638561276e-05,0.0,1273.0117972967844,-187.35525873953404,3.1162672611605062,0.0,1.4799488377615957,1.3487610342904215,98.7228242242654,202.47566859142904,-80.70682877322864,0.0107472498686281,0.0009641757410377,0.0,6.328362988929354e-05,-4850.899110539818,-0.0006092532913752,-0.0006101720271622,1.5465144576336591,0.0225966516252937,0.0309331266105825,0.001791478047974,-0.0057610646796932,0.0001688413370695,-93.98418581907534,0.0,-0.001734355680987,-0.0342922586321857,1.552295052725631,0.0,-94.48429439263047,4564.071537769172,1272.0650824420952,0.0071650847606156,-0.0011543501273627,0.4533315019930778,-0.0003317664023856,1.3497246817808777,0.0072155896004403,0.0031270402436511
1.422168012908032e-05,0.0,1261.307252434089,-101.1155469401488,3.2424359928577697,0.0,1.46253633627976,1.3919726861625432,34.03974120718485,119.06878197585937,-15.852545596688673,0.0046045234757161,0.0003111028432283,0.0,-0.0005230748040537,-4850.899284795222,-0.0006085731334883,-0.0006100104607809,1.589471876170674,0.0246342679935792,0.0302875082402653,0.0026975964722831,-0.0057378460137055,0.0001976680042136,-94.34244264295118,0.0,-0.0014988894641138,-0.0342921118364577,1.5947388946360097,0.0,-94.83399224756322,4564.076148442143,1260.5214868147473,0.0071196231242913,-0.0005338923865671,0.4680290091468532,0.0003075618198882,1.3928513287142654,0.0071750925412309,0.0026828754426929
