longslipFR,longslipRR,ax,steeringangel,signal,sideslipFR,az,rollrate,FyRL,vy,y,FyFL,longslipRL,FL,pitch,roll,longslipFL,yawrate,sideslipRL,FxFR,RR,FxRL,FyRR,slip1,sideslipRR,FxRR,brake,FxFL,sideslipFL,FyFR,x,gas,RL,slip,FR,pitchrate,ay,yaw,vx,signal
-0.0014130812424834,0.3760742923841784,6.538280167026846,0.0,0.6232534522321013,0.0184825318848669,0.0797571072595957,0.0053103794475477,-606.3088569496706,-0.0091480511299087,-4850.900293560514,1088.8016916021852,0.0363313698551887,3.460510121060757,-0.0175570713381576,-0.0012019016117257,-0.0013771600256529,0.0052057077543412,0.0035515713982088,-145.55938978293344,7.449333106718774,5255.611110593691,421.399021904075,6.274840311920387,-0.0287226635570664,5438.082356251626,0.0,-139.7919895289332,-0.0164274776769104,-1090.611402266333,4564.117657316339,0.3703247449208691,3.728444847206162,-0.0083449952591994,3.4860304449912656,-0.094895094417531,0.001653148791098,-0.0340492856664361,1.1004503766695537,0.0
-0.00132773742598,0.3595215545694789,6.530877027592621,0.0,0.6484871985715539,0.0175010427376067,0.1248050088295494,0.0072836441745103,-380.580487257372,-0.0099785563194671,-4850.90077739231,962.0856607713092,0.0294711762859779,3.649367718154045,-0.0184741492429699,-0.0011388232695645,-0.0012670987214052,0.0057400918105288,0.001876288151462,-144.19252864191105,7.247586009343692,5192.692681412665,417.47212746585126,6.274599633364322,-0.0268623253110324,5493.684783349212,0.0,-142.59597786742586,-0.0144696118843062,-1036.7298026002363,4564.129017632749,0.3653161979983729,3.8317082665354656,-0.0085856738152639,3.678411221312558,-0.0889664871139599,0.013068936905982,-0.0339938858385703,1.166258722353548,0.0
-0.001327206750119,0.3267383332372064,6.600507093118141,0.0,0.6730717636502762,0.0161353089184029,0.1615534589292113,0.0098661160432576,-271.7982210918251,-0.0101723899877803,-4850.901287231291,851.2156727432105,0.0287821469285849,3.838265443798016,-0.0193281445242335,-0.0010518521474311,-0.001280844945124,0.0053906425193147,0.0021200438411052,-145.04801255400776,6.930181271378202,5253.937682033215,408.309022562396,6.274903829099281,-0.0231873583404092,5546.844239406032,0.0,-146.81455771091322,-0.012950046931312,-972.1397704100448,4564.141034971977,0.3600023998019661,4.009419702926822,-0.0082814780803053,3.866872533855392,-0.0823994817796158,-0.0028852460954125,-0.0339379576096699,1.232220933564278,0.0
-0.0013390000724587,0.2807805897621006,6.659715773034084,0.0,0.6969768915814518,0.0147369276661239,0.1926183561776967,0.0121472301582787,-251.5905807714225,-0.0102588160950871,-4850.901819860713,758.810742013663,0.0292437628833326,4.028058753865418,-0.020113613985556,-0.0009401972329254,-0.0013039804192179,0.0048023194711058,0.002353092973547,-146.0201010756074,6.542731940974366,5297.995196311155,397.3453846065106,6.275263278064276,-0.0194539878803785,5595.458133307004,0.0,-148.62505314072217,-0.0116334853888123,-898.9723959317832,4564.153713601836,0.3542191629907465,4.204920452008789,-0.0079220291153099,4.054506705201026,-0.075335212785267,-0.0152870781239233,-0.0338871789923807,1.2985859739322614,0.0
-0.0013391672894424,0.2232148375743202,6.705578166668917,0.0,0.7201728124955888,0.0132390855844299,0.2111472457354,0.0137833540492015,-245.1096293210928,-0.0103686155910111,-4850.902375464254,679.2547960071108,0.0296165174098428,4.218757725370095,-0.0208265997502694,-0.0008092234227956,-0.0013152816796278,0.0042028360982933,0.0022720300238087,-146.83887961481133,6.110328058728719,5328.103961369953,399.3253934529523,6.275573641640428,-0.0162337902791232,5637.532937338478,0.0,-149.36572257407153,-0.0104833364013444,-822.3016331857037,4564.167057783388,0.3481844515809883,4.401773427449433,-0.0076116655391583,4.242738830405015,-0.067966512186088,-0.002592918031701,-0.0338424064179989,1.3653965271793154,0.0
-0.0013284690336473,0.1552120779916741,6.739134459066428,0.0,0.7426302834401963,0.0117554030992098,0.2247787132204494,0.0151542389378081,-239.80489624714264,-0.0103005260494191,-4850.90295347255,609.1162959620945,0.0298587023442473,4.41054060076997,-0.0214651547218163,-0.0006639146292796,-0.0013208850841012,0.0035265203852348,0.0023093258029304,-147.37604974465,5.649343066554513,5349.983861974164,439.66384092345794,6.275981499411845,-0.013255204337655,5669.374203467962,0.0,-149.85662285449033,-0.0094378070455253,-743.2803011398425,4564.181071577143,0.3421193619989969,4.59883878019249,-0.0072038077677415,4.431710155554929,-0.0604879790199245,0.0425617422792588,-0.0338039463675975,1.4326002394138089,0.0
-0.0013312681079813,0.0770272624825713,6.822405058105181,0.0,0.764320629269402,0.0104817666170338,0.233460082761338,0.0168494697707312,-265.61246080627654,-0.0097077833462773,-4850.903550453799,544.6377569130391,0.0304484535615311,4.603640956069186,-0.0220287377079837,-0.0005035056576707,-0.0013354310853606,0.0025580556020577,0.0030456044147536,-147.8162036389635,5.1658612242929856,5371.127264856223,574.4162802709102,6.276704331988684,-0.0097809574343129,5778.743179504619,0.0,-150.66839276520278,-0.0083588957347326,-667.9236237344711,4564.19575831447,0.3362049148565531,4.801678639270613,-0.0064809751909017,4.620672649376516,-0.0529828085639597,0.1010628856421823,-0.0337737459524523,1.5001147273815565,0.0
-0.0010690141110421,0.0331913053787107,6.137776829771345,0.0,0.7852157834699994,0.0087231130731169,0.2630936861567287,0.0188239663896845,-372.9315822668976,-0.0084609825732903,-4850.9041598552085,484.9300093883476,0.0240250703357243,4.797275574869464,-0.0225167485374127,-0.0003235172372004,-0.0010165939468476,0.000616075225431,0.0051066168056706,-126.22465802467904,4.998871795862457,4888.807118023303,659.403988130875,6.2777787258303634,-0.005083169828599,5126.657901150333,0.0,-135.17053350042477,-0.007767381236313,-595.6413944494807,4564.211121024414,0.3329416334751348,4.951083220756638,-0.0054065813492224,4.804687008952526,-0.0450755158630404,-0.0718689054937305,-0.0337574945963094,1.566332473510677,0.0
-0.0013070336267649,0.0243205301152289,6.057415093266742,0.0,0.8052883288693642,0.0070181152033954,0.2688363776883627,0.0185725958870898,-481.6169700586889,-0.0081011496605669,-4850.904781574599,443.74788856149314,0.0266208200170658,4.972455556883344,-0.022919876229468,-0.0001344669578305,-0.0010623304782462,-0.0003024315947064,0.0049563401939422,-136.6502180726804,5.1084423828182,4911.946411878362,475.5642718642808,6.278209930473292,-0.0028227130035391,4985.017052581051,0.0,-131.82683532636017,-0.0069626498496227,-499.5115205304938,4564.227116612074,0.3352505056946727,5.156916608033092,-0.0049753767062946,4.973800678976454,-0.036346521773472,-0.0319424085978055,-0.0337577375119185,1.628707824974855,0.0
-0.0011521491188786,0.024228055499699,5.91685125278118,0.0,0.8245115381696916,0.0055264958467395,0.2440918133253114,0.0167099313757474,-423.3711282034224,-0.0085887299751904,-4850.905426086429,395.6868610717361,0.0254333728905662,5.13726663114253,-0.0232335890644,4.136916857077759e-05,-0.0012033803768693,-0.0002136057683365,0.0028640427577456,-137.78036871573386,5.283506955011781,4861.77180894453,361.55702473791433,6.278100579928978,-0.0027683422644695,4809.477816663116,0.0,-133.33554957531936,-0.0059863495111492,-409.34319506713854,4564.243723715566,0.3366512543377071,5.323455760775159,-0.0050847272506081,5.141741481521365,-0.0272819565019097,-0.0252722451109389,-0.0337607335574566,1.6890292837527443,0.0
