yaw,FxFR,x,RL,yawrate,FyFL,signal,FxFL,ay,FyFR,RR,signal,FxRL,FyRR,longslipFL,sideslipRR,gas,steeringangel,vx,ax,pitch,longslipRL,longslipFR,az,vy,y,FL,FxRR,sideslipFR,FR,longslipRR,sideslipRL,slip1,rollrate,brake,FyRL,roll,sideslipFL,slip,pitchrate
-0.0129730364305689,-149.75456588474566,9976.070712611878,9.353437858330228,-2.5431500933771237e-05,1223.8999862684627,0.0,-152.5105263829929,-0.1020860682496859,-1256.4307391502562,14.06533060851418,0.0,5645.8540174486925,138.2434510832208,-0.001399915136833,-0.0191423160835349,0.6843232585191698,0.0007625215706623,1.0462236658708606,6.774038914343631,-0.0179918938089869,0.5370641886585051,-0.0014802344255357,0.0742133865693613,-0.0012922076873425,-138.64750199768818,3.3358944153949026,5449.705827850513,0.0213759660652376,3.3360234526979404,0.944965501253387,0.0212468894967655,6.281889559794791,0.0043963354102058,0.0,-253.5982722161486,-0.0018366074367348,-0.0195728072321808,-0.0012957473847952,-0.1102853050959414
-0.0129737051957773,-149.9987001406002,9976.08155251681,9.294684572356086,-9.835542970243032e-05,1128.0842015453416,0.0,-152.51824099990463,-0.098294612248527,-1157.6051626865617,14.417105325677513,0.0,5707.4835635709815,114.02448333012867,-0.0013959738204731,-0.0167520951998141,0.6768562126557186,0.0014086854373113,1.1143590512116155,6.858065814867588,-0.0190637897657593,0.5476122725446347,-0.0014680813376789,0.1237795025587201,-0.0022892042133374,-138.64766170848526,3.533061256957844,5517.743006817495,0.0196385262270142,3.5335545808440827,1.0196093061222802,0.0191774901721525,6.281075592174383,0.006675492754333,0.0,-226.56043754988795,-0.001780039566149,-0.0180806584636412,-0.0021097150052034,-0.1045443015037919
-0.0129750407272978,-150.27615827883352,9976.093078113408,9.22048843946251,-0.0001621233772189,1035.6065116661707,0.0,-152.58682793810138,-0.0917801444869397,-1062.1721680790113,14.737358483875148,0.0,5762.606520008795,96.59308538326748,-0.0013936495470634,-0.0144887409554665,0.6694795156122298,0.002198602460529,1.183301558762196,6.935287641091099,-0.0200743191013297,0.5537515134888316,-0.0014574914031499,0.1706677337883849,-0.0032345658096097,-138.64784001377473,3.73116091215862,5581.7937675521325,0.0179469917805692,3.732049453313064,1.0934587949335617,0.0171670900462104,6.280402357745575,0.0088600923854867,0.0,-202.4337829668215,-0.001701179832729,-0.0166134178787594,-0.0027829494340112,-0.0980970215054108
-0.0129770069248436,-150.61404191948475,9976.10529694962,9.135685565723673,-0.000224093501079,946.6786306159912,0.0,-152.6811045077271,-0.0848185493136785,-970.0504502896636,15.0254764936027,0.0,5810.714692434865,82.81842639931578,-0.0013919250299704,-0.0123405288164209,0.6622194705870018,0.0030806785533876,1.252980732368892,7.005096119472946,-0.0210169106825881,0.5555918629867878,-0.0014478705199923,0.2137016417430131,-0.0041104869387377,-138.6480363778587,3.930186903658546,5641.452409089578,0.0162939552816473,3.9314382857703567,1.1658417693404166,0.015239866241897,6.279861787075586,0.0109149922452553,0.0,-180.741191987133,-0.0016011524824491,-0.0151925951475972,-0.0033235201039999,-0.0910337074254958
-0.0129795452417293,-150.97699021210488,9976.11821582904,9.045097533429956,-0.0002761124461805,861.6481524065194,0.0,-152.7657987758861,-0.0781119243107337,-881.4348392316929,15.280873079978203,0.0,5851.391372106473,70.71519570523733,-0.0013910771372422,-0.0103335318648713,0.655100372489224,0.0040346410567324,1.3233196444079098,7.067043481012386,-0.0218859291675913,0.5533589610491106,-0.0014387392733063,0.2526934916651981,-0.0049093726058419,-138.6482501429063,4.130072274424632,5696.054380909515,0.0147011058523601,4.131676373608226,1.2360583929220543,0.0133840701180521,6.279439128876907,0.0127862554731712,0.0,-161.00455943964155,-0.0014815131699462,-0.0138218993157937,-0.0037461783026787,-0.0834527870408103
-0.0129825290320968,-151.49357633154037,9976.131840737447,8.953186934196983,-0.0003143464051068,781.2301452748345,0.0,-152.9146504714759,-0.0723796997988632,-798.5512903057145,15.503462665435954,0.0,5884.130320357369,59.697093546446446,-0.0013924636583739,-0.0085213868384073,0.6481492678042554,0.0049741720835844,1.39423281741521,7.119994790498794,-0.0226769045432824,0.5473618593487806,-0.0014311495407147,0.2819454592689661,-0.0056328315497365,-138.6484806185947,4.330789013396498,5744.773806848992,0.0132307918896528,4.332673815219136,1.3034585200404565,0.0115726452743907,6.2791154998614855,0.0143301685144523,0.0,-142.6176939128644,-0.0013448009948564,-0.0125478914373831,-0.0040698073181008,-0.0754892258724853
-0.0129857435428122,-152.08850586808967,9976.146176712373,8.867045707147572,-0.0003173884071868,708.8504089163886,0.0,-153.05556336653427,-0.0612449003257099,-718.3544880640592,15.692174067451448,0.0,5902.990449617325,49.83456339167967,-0.0013934155529202,-0.0069851507786707,0.6414211517222055,0.006196114168594,1.4656105453307169,7.158965685765427,-0.0233869523962876,0.5383706211347641,-0.0014205759565039,0.2993841921177961,-0.0062672553800979,-138.64872707792193,4.532424156305919,5786.950229698105,0.0116729206421462,4.534474126234007,1.3672424873615596,0.0098561356461817,6.27888548073138,0.0153535732096574,0.0,-125.24325482308988,-0.0011954515128805,-0.0114737768657018,-0.0042998264482066,-0.0673109403723483
-0.0129885189859108,-152.7681590801527,9976.161227486951,8.799890912902843,-0.00022961937527,643.3519288515147,0.0,-152.97886311102164,-0.045257663577261,-639.2871995117757,15.842689582988411,0.0,5905.890450177059,41.377691144945054,-0.0013918044236586,-0.0057607323252759,0.6350171461245,0.0078348748850612,1.537299484963751,7.18078525894263,-0.024014717315109,0.5281829655891394,-0.0014114513890735,0.3035360066635742,-0.0067660488215664,-138.6489884258629,4.734519934637181,5818.874613889877,0.0102361697436258,4.737152694747297,1.4258801584921563,0.008179871334583,6.278765754500165,0.0160661885957591,0.0,-108.30635376534995,-0.0010378602294428,-0.0104102381909247,-0.0044195526794208,-0.059070355942219
-0.0129899206370411,-153.2060710268144,9976.176995135464,8.756262500173525,-5.766862389719464e-05,580.7437482734314,0.0,-152.88261231056526,-0.0310718287209901,-566.908193847523,15.958480122381976,0.0,5897.350887315111,34.28312803996651,-0.0013883064993193,-0.004740488301815,0.6290242052230143,0.0094098618127956,1.609122631819306,7.1850410829279365,-0.0245602950107394,0.5177137162006554,-0.0014014077551982,0.3041183158737073,-0.0071210678037051,-138.64926323580607,4.936716677455356,5835.2392361399725,0.0090021021836365,4.940451690000353,1.479113470329774,0.0065553864917282,6.278746067415191,0.0165752994287747,0.0,-91.4532503114608,-0.0008741957745419,-0.0093290986838409,-0.0044392397643951,-0.0508758580991221
-0.0129893534914325,-153.456147608677,9976.193480075235,8.73290218003369,0.0001530185743144,519.5210619920769,0.0,-152.7913658729168,-0.0198998588316611,-501.5297004717095,16.046239052059143,0.0,5880.921547190117,28.15526907346541,-0.0013840457472702,-0.0038307275214853,0.6234427933455743,0.0106201378710555,1.6809267302436293,7.176593496310344,-0.025024423122955,0.5069135662283316,-0.0013909000142363,0.2968677667036156,-0.0073594923162806,-138.64955019324287,5.138846428911171,5839.406027995589,0.0078774654974178,5.143866871949718,1.527363150274276,0.0049922453106248,6.278796966505535,0.0168103835703443,0.0,-74.61532303312131,-0.0007069063314579,-0.0082510824545473,-0.0043883406740513,-0.0427814029923367
