yaw,vx,FyRL,yawrate,sideslipRL,roll,FxFR,pitchrate,x,ax,FyFR,pitch,gas,y,RL,FL,steeringangel,FyFL,signal,longslipFR,az,rollrate,FyRR,sideslipFR,signal,brake,sideslipRR,RR,FxRL,longslipFL,slip1,longslipRL,ay,FxFL,FxRR,FR,sideslipFL,longslipRR,slip,vy
-0.0342796888500783,1.0493655506894406,-203.39877270887644,-0.0010163699576308,0.0249676313695541,-0.0022566883287236,-149.01090341536272,-0.1152119735483401,4564.107930627824,6.824854585424477,-1296.051660494173,-0.0185331663645052,0.8912523215679857,-4850.899094019407,12.366530779680527,3.356910001601216,0.0,1260.1440404718928,0.0,-0.0015251108404256,0.0763969669112237,0.0016850770040948,112.18097803209731,0.022666627477239,1.5893546463604895,0.0,-0.0170848218904196,17.72315777297746,5707.7529506889405,-0.0014224468692284,0.0014839508689799,0.8003380020525868,-0.0900643326861678,-153.0969662333772,5467.107384583139,3.351369027457304,-0.0202922328504348,1.2647660707039146,0.0014839508689799,0.0016408516216885
-0.0342916947254512,1.1180311391170117,-181.077521172814,-0.0013534009845841,0.023292269904733,-0.0022246476347854,-149.2272172055781,-0.1092787509133983,4564.118800508745,6.914136547657816,-1196.798750253529,-0.0196533061194511,0.8836081329836334,-4850.89945610928,12.482231720899676,3.555971860032935,0.0,1161.1614392750478,0.0,-0.0015107154123622,0.1295665182037423,0.0044376836446169,95.06239752496408,0.0208905565664934,1.6676791987687964,0.0,-0.0141029418121695,18.34542183002481,5774.243818741088,-0.0014174542892425,0.0006111658129907,0.8445758087952143,-0.0874534597242132,-153.18211539957616,5538.399707736739,3.5496706184286784,-0.0187330912083308,1.3851104671811385,0.0006111658129907,0.0007659288542136
-0.0343071089040969,1.1875556801638807,-161.53232241171537,-0.0016944200912906,0.0216253376454298,-0.0021655629247259,-149.51090959144935,-0.1026007465376702,4564.130361167554,6.996389271545415,-1100.4157208083286,-0.0207099401172876,0.8760513562762884,-4850.89985057532,12.582097610368036,3.756088105493488,0.0,1065.8871640789312,0.0,-0.0014984374387307,0.1794631565276766,0.0070916047690119,79.193587990292,0.0191367719732976,1.7458369846469546,0.0,-0.0113096059022959,18.938713238311003,5833.833644048349,-0.0014136567487004,6.283059363844301,0.8866037811602966,-0.084853820192543,-153.26049465572814,5605.701288808614,3.748963012242975,-0.017215219531102,1.508316114171925,-0.000125943335285,-7.018195918172179e-05
-0.0343258747363158,1.2578646560027738,-144.0095374083039,-0.0020225858106257,0.0199414238985069,-0.0020808146958572,-149.88370686028904,-0.0952735129737288,4564.142620635389,7.070630217461502,-1007.1653270271016,-0.021696143357175,0.8686146165360411,-4850.900277347321,12.670600745447862,3.9571655113852913,0.0,974.3542478002566,0.0,-0.0014874349829664,0.2252264360684336,0.0095764121770381,64.29383219110277,0.0174131143545274,1.8238201882815075,0.0,-0.0087445991114791,19.50167599560499,5885.966459687283,-0.0014117197471204,6.282436242155431,0.9264799371741532,-0.0821484247067244,-153.33981641056016,5668.15285501838,3.9492443417137566,-0.0157491347103686,1.633748392244861,-0.0007490650241553,-0.0008680785752689
-0.0343477770265478,1.328874236343542,-127.97454893180394,-0.0023218230960787,0.0182315139158619,-0.0019724149070828,-150.28159808512203,-0.0873946302286116,4564.1555861404895,7.135936159843941,-916.7297076546092,-0.0226059593002572,0.8613296177219418,-4850.900736322406,12.752339029012624,4.159120055479687,0.0,887.1856961475934,0.0,-0.001477289075926,0.2660390748134099,0.011836885481245,50.392534248671815,0.0157273819104185,1.9016210114170768,0.0,-0.0064266107575537,20.03352675536584,5929.983135780614,-0.0014107249580251,6.281913042986994,0.9643858007604488,-0.078459280739793,-153.42890589467834,5724.962662792993,4.150470274331904,-0.0143409217697935,1.7607734702638864,-0.0012722641925923,-0.0016234255407567
-0.0343724519658343,1.4004925117332077,-113.07592689303767,-0.0025803525723709,0.0164897584292784,-0.0018429607501013,-150.72841503617036,-0.0790774462048033,4564.1692640266665,7.191932109289882,-830.2172387000185,-0.0234344607337902,0.854226048993804,-4850.90122730076,12.83174222147065,4.361857570598903,0.0,804.3266198120867,0.0,-0.0014669435977661,0.3038599987681457,0.0137945767744234,37.59374262238983,0.0141326951591933,1.9792316740361835,0.0,-0.0043693060978311,20.5337967152465,5965.685445432347,-0.0014114656606258,6.281480432717737,1.0006012979181325,-0.0745986557817046,-153.55216109196044,5775.534129318242,4.3525565826599175,-0.0130066394932473,1.8887515066774665,-0.0017048744618489,-0.0023285523149194
-0.0343994358350633,1.4726153435275384,-100.32014499904952,-0.0027830690579758,0.014761437641667,-0.0016966576813311,-151.36758723957536,-0.0705050772335982,4564.183659675047,7.235825020625778,-748.1244530869986,-0.0241782233095812,0.8473394873492579,-4850.901749985185,12.913768853838569,4.5654992493025,0.0,728.8344866093197,0.0,-0.0014569339085174,0.3214090119515218,0.0152186427563987,26.14299973999426,0.0125578304118563,2.056644415137241,0.0,-0.0026414424298241,21.001926363366312,5989.96138091144,-0.0014114336825293,6.281131867433341,1.0354357166636017,-0.0701304483032114,-153.70994492329902,5819.405584581249,4.555418148926052,-0.0118552101662291,2.017011122910448,-0.0020534397462445,-0.0029736408379953
-0.0344279089116684,1.5450969427100691,-89.06068407606782,-0.0028819350922833,0.0130166123618024,-0.0015392136950205,-152.09859513937985,-0.0618304649606611,4564.19877725462,7.262945668950146,-668.934813223309,-0.0248355664331316,0.8407596355222804,-4850.902303820386,13.01089232562376,4.7696717184757045,0.0,659.9205282274488,0.0,-0.0014475423603903,0.32465480537603,0.0161227191114766,16.455656791278162,0.0110597481481879,2.133851493510649,0.0,-0.001308517692108,21.433749321325312,5996.7201007437925,-0.0014104213253512,6.28087401977397,1.0704995279593463,-0.0590165078686776,-153.65456664998172,5854.855306219258,4.759241980405725,-0.0107225931058038,2.1440649172031407,-0.0023112874056162,-0.0035296345805278
-0.0344567435079472,1.6177549947516412,-78.16868680789031,-0.0028701615491536,0.0112503154176201,-0.0013744269797098,-152.6565810248225,-0.0532046036324792,4564.214619300185,7.270216557870485,-594.7298769040412,-0.0254063622591375,0.8345906975861912,-4850.902888002306,13.13247143762702,4.974006952393383,0.0,594.571288048411,0.0,-0.0014366763239427,0.3267593119563303,0.0167237750549337,8.754683270230949,0.0097158510776872,2.21084518851291,0.0,-0.0003166012497485,21.82919001773565,5989.714462371763,-0.0014072610893105,6.280698362356179,1.1074347064788013,-0.0493854380471399,-153.50370104903192,5874.713383556852,4.963859988682905,-0.0096298321759238,2.2687400761702925,-0.0024869448234068,-0.0039899706963042
-0.0344849914725849,1.6904151002730337,-67.3511783849129,-0.002777946747345,0.0094848903997239,-0.0012054005692346,-153.00113553643052,-0.0446869526954592,4564.231186543935,7.262690848930623,-526.2328054017429,-0.0258914458854871,0.8288676770214958,-4850.903501666409,13.276902646259527,5.178235332289257,0.0,533.0257771844944,0.0,-0.0014250371922276,0.3201619307041398,0.0169982950164167,2.660712217699332,0.0084805607479991,2.2876178008386843,0.0,0.0004845742939602,22.195674292914767,5973.529256710344,-0.0014028713684662,6.280591195042461,1.1464145783879125,-0.0400033122570836,-153.36530177240317,5880.242682438317,5.168766859208952,-0.0085737773727757,2.3917690238842706,-0.0025941121371252,-0.0043593242169173
