az,pitchrate,FyRR,sideslipFL,ay,ax,FyRL,FR,sideslipRR,yaw,steeringangel,longslipRL,FxRR,vy,longslipFR,sideslipRL,FyFR,FxFL,signal,FyFL,slip1,longslipFL,gas,FL,brake,x,roll,FxFR,FxRL,yawrate,pitch,y,sideslipFR,rollrate,RR,signal,RL,vx,longslipRR,slip
0.0773537371037687,-0.1127201093731923,118.871939424006,-0.0198896985151254,-0.0976182296840455,6.802190001280422,-223.96439754661645,3.3447323509235165,-0.0180259818681666,-0.0342665945223103,0.0,0.6710855192502488,5459.88672411273,0.0001622284033809,-0.0015019988738522,0.0232008101193884,-1276.2816142775448,-152.79780884775255,0.0,1240.5252139656368,8.4345961593487e-05,-0.001410677444258,0.7876860303221735,3.3475746243937974,0.0,4564.107873418321,-0.0020545058332028,-149.3585302470319,5679.367396709212,-0.0005558653207979,-0.0182904819013395,-4850.8992104630415,0.022022048460746,0.0031547965506318,15.959551670443854,4.517139787160284,10.88788779878158,1.0481605873161624,1.1105188297626296,8.4345961593487e-05
0.1291332770599136,-0.1068127816787932,101.343997811419,-0.0183390074387666,-0.093574942355336,6.888832882451777,-199.59479488365207,3.5425860417726334,-0.0153090074549678,-0.0342733334304601,0.0,0.6967993089157072,5529.521052675545,-0.0007907963820666,-0.001488757650897,0.0213311792625869,-1177.348547473972,-152.84504556965868,0.0,1142.1471959685816,6.28241228870584,-0.0014057346161258,0.7801290295856733,3.5456759772414013,0.0,4564.118729216341,-0.0020088037402364,-149.55074888900765,5743.28753002937,-0.0007732124254527,-0.0193858375005638,-4850.899587035133,0.0202679121195037,0.0057221014797418,16.42967037544872,4.713158063538156,10.897203778949995,1.11658901948784,1.2068046040461646,-0.0007730184737466
0.1778109303547977,-0.1001713690777354,86.14668105485407,-0.0168204767113803,-0.0898041323252151,6.968622226451874,-178.38202979765452,3.74137008009092,-0.0127198443625961,-0.0342823214921584,0.0,0.7185856051435546,5595.430047055883,-0.0016942224853638,-0.0014770146431222,0.0195251286765667,-1081.6271791626343,-152.92732987415994,0.0,1047.0639379204215,6.281698500410332,-0.0014027154172739,0.7726604444484779,3.744780962972688,0.0,4564.130273242993,-0.0019377933998138,-149.83436413245164,5800.42231342041,-0.0010024491607831,-0.0204180035452605,-4850.899996534852,0.0185485346784168,0.0082118476874461,16.865011889248837,4.90493481578747,10.886952994487434,1.1858504927494575,1.3034732397168718,-0.0014868067692538
0.222426539667135,-0.0928926811375267,72.16562751031259,-0.0153581128185731,-0.0861730087569318,7.040636952654297,-159.5388295968409,3.941069774077704,-0.0103099501190479,-0.0342936069343972,0.0,0.7365256100333203,5656.715130877638,-0.0025512795972371,-0.0014665804391084,0.0177494710621899,-989.0795950499248,-153.03166049125883,0.0,955.7210807090772,6.2811030831388575,-0.0014008843365415,0.7653096528584303,3.944836337292613,0.0,4564.142513292348,-0.0018426613722126,-150.1726001070016,5850.247515509041,-0.0012301847868088,-0.0213801697033532,-4850.900438770275,0.0168558532908425,0.0105506482769866,17.26483873139011,5.092297457775744,10.86250982478303,1.2558727406026975,1.3998106809928188,-0.0020822240407284
0.2614825477596726,-0.0850759313991484,59.14127416712208,-0.0139503294408067,-0.0823863472455932,7.1043151259885295,-142.39957237694512,4.141657985971226,-0.0081094294930324,-0.0343070792329788,0.0,0.7507939012222127,5712.491188996361,-0.0033581410985194,-0.0014570619129451,0.0159851491846334,-899.44006952441,-153.1195577683481,0.0,868.633375705401,6.2806107911297175,-0.0013993448738194,0.7581064816490931,4.14575796192593,0.0,4564.15545637943,-0.0017252404093611,-150.58448045944382,5892.30478727363,-0.0014390979140419,-0.0222665048496631,-4850.90091353024,0.0152063014814407,0.0126807799308065,17.62888370166251,5.275077375771785,10.828896057563908,1.3265744793401155,1.4951197201939987,-0.0025745160498684
0.2941334223620845,-0.0768526629622281,47.11892450862931,-0.0126435147934099,-0.0789912059907663,7.158663563487176,-126.42435221829015,4.343042996177398,-0.0061536097894603,-0.0343224900488962,0.0,0.7616510553814686,5762.047013036304,-0.004111299985541,-0.0014464935066485,0.0142099652239795,-814.694805824409,-153.2533147144854,0.0,786.2757357761132,6.280208748654905,-0.0014005082778101,0.7510814108749815,4.347484999217071,0.0,4564.169108656051,-0.0015882101824778,-151.05202849392765,5926.069788842824,-0.0016199937540401,-0.0230723086607321,-4850.901420532587,0.0136728730959589,0.0144760130583275,17.95727992393835,5.453110080186673,10.790775875836813,1.3978653747902514,1.5887391862399232,-0.0029765585246814
0.3145582086045539,-0.068401754396382,36.37453821531408,-0.011518094677968,-0.0705547145110752,7.1987057159443655,-111.34814824042014,4.545208204176572,-0.0045168127210123,-0.0343394818338041,0.0,0.7696258357082433,5804.874451369048,-0.0047935720228125,-0.0014368370110705,0.0124913576487102,-733.3139350810341,-153.39028931335756,0.0,712.0499683922804,6.279895327166902,-0.0014006001567574,0.7442830394448889,4.550127606902717,0.0,4564.183475296375,-0.0014361184223752,-151.68778951490003,5946.5945777884735,-0.0017527055097943,-0.0237944932591918,-4850.90195939215,0.0121004895768203,0.0157231998764684,18.2493635508374,5.626235353603281,10.7546339904576,1.4696353670350886,1.6798787998225218,-0.0032899800126835
0.3165756609612399,-0.0598767715283603,27.25302203657273,-0.0103902757811656,-0.057133104581886,7.222337782754757,-96.85693401850844,4.748284446398461,-0.0032375912386681,-0.0343573001025894,0.0,0.7767455970355162,5838.244277698067,-0.0053650667513053,-0.0014276299907284,0.0107752013736573,-654.3883137980853,-153.33399760138713,0.0,643.7071704920274,6.279683553966229,-0.0013991082283803,0.7378093762298585,4.75324582942164,0.0,4564.1985601861215,-0.0012741138949512,-152.42234262370286,5950.134981847921,-0.0017899234080163,-0.0244315906931294,-4850.902529340742,0.0106419018196833,0.0165532699219065,18.5021654977012,5.7942973949611405,10.73567497604536,1.541731073386182,1.7670835913258778,-0.0035017532133575
0.3177584650509231,-0.0514194305040799,19.839549516317355,-0.0093022645708636,-0.0456649225468831,7.226911215498674,-82.67509299516828,4.952057206660919,-0.0022329956727596,-0.0343749633452481,0.0,0.7847201329938936,5855.723752338116,-0.0058214666390274,-0.0014161784872465,0.0090724073395098,-581.2783736225448,-153.2374433624292,0.0,578.986951952409,6.2795619895285855,-0.0013961203839661,0.7317550925475423,4.956506611500156,0.0,4564.2143655349055,-0.0011052438265486,-152.9191633539892,5941.245517865809,-0.0017358005305736,-0.0249837701364347,-4850.903129329195,0.0093509624374765,0.0171150975161161,18.721454554012496,5.957144959766875,10.744246526667764,1.6139702869861936,1.8502106759358925,-0.003623317651001
0.3105950338549336,-0.0430799882344323,13.732030370754078,-0.0082442326839444,-0.0353291199243602,7.217941760108324,-68.81036766728528,5.156010945437084,-0.0013816078032596,-0.0343917393268515,0.0,0.7934927082009265,5860.020065624701,-0.0061742098030461,-0.0014046020763041,0.0073981754537455,-514.0540204681857,-153.13277576628732,0.0,517.5120432302308,6.279511827734256,-0.001391806827646,0.726131724463356,5.159688876605212,0.0,4564.230891815277,-0.0009324808639693,-153.21205923818383,5924.021036595712,-0.0016234699232237,-0.0254519731064759,-4850.903758302455,0.0081565755769879,0.0173587577226807,18.91365570972879,6.11463149620404,10.776672168157472,1.6861900873030964,1.9297773144794024,-0.0036734794453305
