RR,slip,longslipRL,FR,signal,pitch,ax,rollrate,pitchrate,longslipFL,sideslipRR,longslipFR,FyFL,FyRL,vx,sideslipRL,longslipRR,sideslipFR,x,FxRR,yaw,FyFR,FxRL,steeringangel,FxFR,yawrate,vy,roll,FyRR,RL,gas,y,brake,sideslipFL,FxFL,slip1,az,signal,FL,ay
18.705492852072528,0.0023758405933256,0.8786562211087139,3.3547235308483856,0.0,-0.01862560961658,6.832382223094877,-0.0001144179520866,-0.1171462773629276,-0.0014326447547868,-0.0172045519521326,-0.0015396792088383,1279.2982881262149,-191.18392843796613,1.0495618233276236,0.0254682549170718,1.3508290837858947,0.023053528626015,4564.107936648578,5468.896036089715,-0.0342800346276401,-1306.618897071151,5719.483429391247,0.0,-148.96994011705965,-0.0011158311050817,0.0025821035993091,-0.0023557019104782,112.74238747908416,13.266372032648682,1.5160953219521696,-4850.899050969583,0.0,-0.0207131012781091,-153.37881088325136,0.0023758405933256,0.0718452674168124,1.9708994599769205,3.361259500932815,-0.0761060238781442
19.495184903083743,0.001573779083717,0.941581052770407,3.55355343953342,0.0,-0.0197663471047965,6.9237570952356,0.0024781299262013,-0.1114403494012588,-0.001428197697309,-0.0141327191637139,-0.0015266804978239,1181.9446965276315,-168.81373832323433,1.1183110398505829,0.0239133184415487,1.4922926588026824,0.0213199211424118,4564.118809382738,5540.902198246998,-0.0342932896522442,-1208.8671223701313,5788.517740668569,0.0,-149.15512133010105,-0.001499686781818,0.0018483597496606,-0.0023425398664698,95.51755487495409,13.526697267175036,1.5083971183625786,-4850.899403022979,0.0,-0.0191835170803568,-153.46193860377414,0.001573779083717,0.1248268563880497,1.9898486995551616,3.5611224770644854,-0.0734598606414811
20.268252826867048,0.0008977807781205,1.004884586415986,3.753428978643548,0.0,-0.0208458182936497,7.008187944497293,0.0049756331749334,-0.1049832790363238,-0.0014251653264421,-0.0112537687412027,-0.0015151504596342,1088.2961290836158,-149.36318667865606,1.1879404669063445,0.022356400496077,1.6398444781828514,0.0196017300215475,4564.130373913991,5608.860966941083,-0.0343104428853746,-1114.0211756034782,5850.905354009897,0.0,-149.41953445271125,-0.0018913417430894,0.0011525144170597,-0.0023039153909854,79.3096444232453,13.779337185518193,1.5007796809738134,-4850.899786104494,0.0,-0.0176974030727506,-153.5736483849419,0.0008977807781205,0.1746559173555689,1.999051661210958,3.762098180317296,-0.0712665518998528
21.02368548762061,0.0003218497886309,1.0687759819682234,3.95434757131866,0.0,-0.0218570188643115,7.084696974703982,0.0072987160780731,-0.0978672632839465,-0.0014227919221732,-0.0086227426317122,-0.0015054634380894,998.3333858448318,-135.19422279966693,1.2583767778295358,0.0207539110347554,1.7931559120082463,0.0179069924403616,4564.142638491855,5671.959922549381,-0.0343314399402889,-1022.1691620396756,5905.952116757982,0.0,-149.76098982283574,-0.0022649006380746,0.0004865719267785,-0.0022411995358418,64.00972391665726,14.028598268762106,1.4932768410622923,-4850.900200196111,0.0,-0.0162625649678119,-153.65604093636003,0.0003218497886309,0.2207986302123911,1.998463268842781,3.9640915713713194,-0.0713797187858085
21.760698390723963,-0.000179730781772,1.1335462423772438,4.156305195764278,0.0,-0.0227938683276022,7.152616597774962,0.0093726138915981,-0.0901853444908628,-0.0014212495306605,-0.0062929799599189,-0.0014965082953258,912.781441531102,-124.26408683190364,1.3295377437893283,0.0190606633580344,1.9518806762468248,0.016241073478863,4564.155610568409,5729.444865916919,-0.0343559270462198,-932.9391907648252,5953.344233031669,0.0,-150.17319888544077,-0.0025902462543815,-0.00016357809478,-0.002156582823974,49.83236239239535,14.278645597011806,1.4859199915110384,-4850.900645402761,0.0,-0.0148865019330522,-153.7057543705919,6.283005576397814,0.2621027777625054,1.988086404396152,4.166965514726202,-0.0706793167684955
22.478983666746927,-0.0006123473133579,1.199507316372199,4.359249792776105,0.0,-0.0236512378056497,7.211776583774603,0.011160701985089,-0.0820349726932483,-0.0014218074195178,-0.0042619425960813,-0.0014870625969948,831.451819688695,-114.09054732366866,1.4013355866353006,0.0172910773893939,2.1156519175066566,0.0146188603187196,4564.169296738302,5780.738986090147,-0.0343833261031378,-846.7621186886539,5992.981850079139,0.0,-150.57784185295534,-0.0028526259864794,-0.0007902480904391,-0.0020527693829065,36.97566583200964,14.532935182338116,1.4787342646568835,-4850.901121820753,0.0,-0.0135677166285632,-153.77421790868675,6.282572959866228,0.2971707551858973,1.9679718937478736,4.370603973018417,-0.0690126660570651
23.17845291043329,-0.0009743318010036,1.266956647347333,4.562996048028198,0.0,-0.0244251870917087,7.260467659975356,0.0125243545812433,-0.0735693282277795,-0.0014235503423367,-0.0025414798841362,-0.001480429593792,755.9440500310291,-103.83234799567715,1.4736752220980645,0.0154889028952593,2.284108534885424,0.0130764501754318,4564.183702693219,5825.388660001346,-0.0344129819104141,-764.2545553279568,6023.626762480536,0.0,-151.13634235840254,-0.0030467987038375,-0.0013764197984167,-0.0019331808887985,25.55663523623718,14.794810624038746,1.4717450282188336,-4850.901629393561,0.0,-0.0123853628666718,-153.9560295153792,6.282210975378582,0.3202245670974517,1.9382182577609128,4.575070266888355,-0.0652831099742586
23.856560070209657,-0.0012556416519083,1.3368616168561689,4.767760126527132,0.0,-0.0251136641971644,7.293113274655974,0.0133421896946294,-0.0649787787863998,-0.0014232250858456,-0.0011948563420858,-0.0014718394669218,686.8353924285861,-93.39776486616913,1.5464277435439695,0.0137173464144387,2.456324717920965,0.0116113067404123,4564.198833054433,5862.351596094133,-0.0344441190696041,-686.5574240329806,6037.948595946019,0.0,-151.8322654220737,-0.0031535970861819,-0.0018909422649133,-0.0018031089145114,15.853857031019292,15.072920291243376,1.4650237639991297,-4850.902167762845,0.0,-0.0112655302754693,-153.9971259276572,6.281929665527678,0.3259800911165563,1.898971229729261,4.780242082973312,-0.0561320749701102
24.51100612810581,-0.0014600024759275,1.411254105604487,4.973406103665528,0.0,-0.0257162897832349,7.305729800005561,0.0138534069642788,-0.0564146385708296,-0.0014203888221904,-0.0001965098777749,-0.0014606397855915,621.8272351827824,-82.78255157059922,1.6194133241792756,0.011950951869244,2.63081607419695,0.0102546945134977,4564.214690915408,5884.629870284345,-0.0344757880567645,-613.4348338295476,6036.613211916888,0.0,-152.36283202054457,-0.0031646544743239,-0.002321792043302,-0.0016666596159882,8.10006070161601,15.37850038548306,1.458691775225425,-4850.90273629767,0.0,-0.0101853509812827,-153.89254539217842,6.2817253047036585,0.3272404625586225,1.8504230415763363,4.985777515237009,-0.0468935847815059
25.14727524388146,-0.0015947344412299,1.4906632459020068,5.179435276916147,0.0,-0.0262337498146844,7.301919064590602,0.0140853649518835,-0.0479442753197629,-0.0014158146156164,0.0006175566937382,-0.0014497021498869,561.2437871164682,-72.07559745128299,1.6924459412350208,0.0101994986803237,2.808329900098189,0.0090060758594565,4564.231277510858,5891.799362846713,-0.0345071346233084,-545.3134685682377,6024.647142399671,0.0,-152.6694373425142,-0.0031007576743919,-0.002664151307713,-0.0015266103304406,1.9465951283169751,15.711697345857957,1.4528149877008316,-4850.903334225482,0.0,-0.0091559077083578,-153.77375458460807,6.281590572738357,0.3214631675585677,1.79281148230312,5.191311056866302,-0.0374892855497467
