FyRR,vx,FL,roll,signal,FyFL,longslipRR,pitch,pitchrate,longslipFL,ax,yawrate,sideslipFR,FxRL,FyFR,brake,longslipRL,slip,x,FR,y,gas,signal,steeringangel,RL,yaw,sideslipRL,longslipFR,sideslipRR,RR,ay,az,FxFR,sideslipFL,slip1,FxRR,FxFL,rollrate,FyRL,vy
246.9962687852226,1.0397380535373388,3.301940915381451,-0.0014042889506595,0.0,1188.8285929909227,0.5789819813797121,-0.0171925347734933,-0.1046397064062373,-0.0013759007423594,6.697715512287807,0.0015545728482848,0.0201768712507296,5563.524704695669,-1217.390128006298,0.0,0.2447667036964454,-0.0043871560385105,4564.1073526675855,3.3101729695655795,-4850.899641112155,0.4782955105905562,2.987006128393709,0.0,5.98711301662403,-0.0341838988488923,0.0155373484806396,-0.0014366327934354,-0.0227593552961334,9.860126708434588,-0.1132228843258167,0.0620576252064229,-150.49718860923923,-0.0188585207060218,6.278798151141076,5414.341508382589,-151.9594507636257,0.0057675235108184,-387.5366827986208,-0.0045183792236183
217.28918157973337,1.107089064797757,3.4970279175459846,-0.0013375706800866,0.0,1097.10977642173,0.6097456483018979,-0.0182107404645858,-0.0994093128433053,-0.0013727985984183,6.776603087534423,0.0017516308801251,0.018573618909089,5620.985585405168,-1122.5954577988175,0.0,0.2253949747446616,-0.0051340756547843,4564.118115679486,3.5067062786136054,-4850.900060934912,0.4710343207310867,3.1162672611605062,0.0,5.808262539424766,-0.0341672942184602,0.0131459204975262,-0.0014278140562433,-0.0210159540754844,9.991636792682312,-0.1107239785033437,0.1060890995031116,-150.72859136918456,-0.0174395161108796,6.278051231524802,5478.7561164999415,-151.942325398237,0.0073915119203162,-357.5753807378049,-0.0056421572998687
192.4496874132865,1.1751983697101305,3.692976430227264,-0.0012554207060836,0.0,1008.4800086151032,0.6374287607962263,-0.0191729580203327,-0.0935211933317043,-0.0013707844165849,6.849272513201727,0.0019771237011534,0.0170059853034792,5672.809977352769,-1031.235396096427,0.0,0.2006927489507426,-0.0057700869363112,4564.129555677368,3.704201351904904,-4850.900514796631,0.4638553011596988,3.2424359928577697,0.0,5.619977429626021,-0.0341485612960953,0.0107986841535279,-0.0014202004967975,-0.0194037884895172,10.09727367305518,-0.1081524885420204,0.1477430214536053,-150.98866094410317,-0.0160537425519713,6.277415220243275,5539.193505584497,-151.95246873694342,0.0088635599819742,-331.681891030014,-0.0067416284492013
171.6772629610906,1.2440014156300647,3.889716469193429,-0.0011595865314326,0.0,923.6080456136112,0.6611460106100856,-0.0200730080774212,-0.0870440366988982,-0.0013693479696022,6.915050493532346,0.0022428198672914,0.0154708916353901,5718.621235580599,-942.8743569755286,0.0,0.1703704423464452,-0.0063146876586092,4564.141679775765,3.9026092112772486,-4850.901002635992,0.45678203890341,3.365358818251381,0.0,5.42210086635139,-0.0341273720278808,0.0084740061628432,-0.0014138327050762,-0.01794686466476,10.173521085693311,-0.1070034992031806,0.1869217671465007,-151.30524604234017,-0.0147114861638172,6.276870619520977,5595.04355835551,-151.9494766926442,0.0101383640550921,-312.63315211323777,-0.0078192121842266
154.61824015470685,1.313427969203545,4.087144248256209,-0.0010524024548431,0.0,842.4999903509913,0.6801519218433824,-0.0209054335885118,-0.0800679686101431,-0.0013690239087887,6.973792095164782,0.0025674759049363,0.0140079994812829,5758.344825505438,-858.0917181490757,0.0,0.1343005117244307,-0.0067900526181746,4564.154494404376,4.101894470463035,-4850.901524444374,0.4498361290608963,3.484884457907259,0.0,5.215840621519207,-0.0341032115088374,0.0061291732270978,-0.001407792845723,-0.0166927478955163,10.2189510925766,-0.10676396214263,0.2236706893763367,-151.6869985920095,-0.013424362050285,6.276395254561412,5645.763237578549,-151.98966108511604,0.0111418670707163,-299.2102367794366,-0.0088855596110169
141.04083124811464,1.3834147595974096,4.28529695263623,-0.0009372326281899,0.0,766.6256020109624,0.6944910863701105,-0.0216660123889235,-0.0727436688425945,-0.0013776039953263,7.048427013756544,0.0029330648529701,0.0126032264691131,5828.3946916948735,-778.3872175709599,0.0,0.0926480327558711,-0.0072054851395642,4564.168005265044,4.302056811869789,-4850.902080249534,0.443032858671501,3.600864062477944,0.0,5.00408054529996,-0.034075492361728,0.003798127070075,-0.0014046878672588,-0.015670242873403,10.239393464616644,-0.0870398245005059,0.2409309781220603,-152.2927682944052,-0.0122517279603973,6.275979822040022,5690.798366079624,-152.29869855282,0.0117532380794014,-283.3484995344388,-0.0099392726686448
128.49266302995943,1.4548191197291305,4.4898792263693705,-0.0008180595103512,0.0,707.0006470963829,0.716487982723448,-0.0223532810132292,-0.0654096344180059,-0.0012385766716284,6.800636216633137,0.0030647429745543,0.0108318086707307,5425.880544102288,-693.156148918976,0.0,0.0184741910180197,-0.0075059111376558,4564.182222146977,4.505912156747801,-4850.90266979279,0.4343543892657221,3.7131514172009816,0.0,4.568282827947843,-0.0340461639155334,0.0020595996233716,-0.0013280109747951,-0.014417048918735,10.340812888118114,-0.2999449280392037,0.3401277248553349,-153.78345490704214,-0.0116272801787905,6.27567939604193,5729.216778986427,-153.96675703060495,0.0120391103630977,-263.8550042683021,-0.0108948172620912
121.90485394439344,1.5236962993056904,4.681963029610887,-0.0006949760929695,0.0,622.1858268130494,0.697597874250067,-0.0229637667684676,-0.0575322644613974,-0.0011710343542467,6.924144756545874,0.0040363497232075,0.0105431794420203,5571.480379015609,-637.9891907081187,0.0,0.0267281477840217,-0.0075256676527594,4564.1971359955405,4.703880001293746,-4850.903290176717,0.4321485656176229,3.82160314634701,0.0,4.831669086641155,-0.0340083649641289,-0.0001717044254895,-0.0012672678252422,-0.014039704608645,10.132029881859069,-0.0575246623688744,0.2768927697861027,-152.3607080152219,-0.0094656701566751,6.275659639526827,5755.079544995457,-153.059550104218,0.0126130020397951,-130.29596216859608,-0.0114442664238299
115.6498485271556,1.5927367941749395,4.875716405906838,-0.0005633650373704,0.0,537.3888724297334,0.6644591310289765,-0.0234954595307767,-0.0496257502547704,-0.0012356206816915,6.92218970894269,0.0042035015698229,0.0095478363644851,5544.945549860132,-589.3620114549244,0.0,0.0295514680028633,-0.0071848411553751,4564.212740645855,4.8991730187726965,-4850.903935754627,0.4280533793362442,3.926078917349997,0.0,5.052561574750831,-0.0339660858992971,-0.000949226041252,-0.0012886893090419,-0.0123936558043074,9.852443124444946,0.0303881485489997,0.2555997070409567,-149.76136883015695,-0.0081464638335319,6.276000466024211,5767.5961633561465,-150.27732633839378,0.0136625970250606,-0.0891498016364753,-0.0114242142661182
105.53773339778952,1.6617811886533005,5.070882968548062,-0.0004202601505147,0.0,466.1544599076103,0.620019187075865,-0.0239485948289817,-0.0418125651501739,-0.0013174067466106,6.909622737893317,0.0038487394069716,0.0084274236717396,5520.741051714098,-533.5744102169697,0.0,0.0305377949429858,-0.0066337462076308,4564.229035284126,5.093039633253232,-4850.904601466325,0.4233427616836228,4.026441644346821,0.0,5.262500564415911,-0.0339256331829716,-0.0009689426996589,-0.0013264071772579,-0.0100645770497285,9.53153086684866,0.0544469451752153,0.2438597354355319,-149.4149766882717,-0.0070612928833273,6.276551560971956,5770.993893984646,-150.25352884775415,0.0148217742730518,64.0502489559482,-0.0110083682435375
