roll,vy,brake,pitch,gas,signal,FyRR,FxFR,rollrate,FL,sideslipFL,vx,RR,FxRL,sideslipRR,RL,longslipFR,steeringangel,signal,longslipFL,FyFL,FxFL,FyRL,FyFR,slip,yaw,slip1,FR,ay,az,sideslipFR,sideslipRL,FxRR,longslipRR,y,x,longslipRL,pitchrate,yawrate,ax
-0.0018363163162735,-0.0013017355655989,0.0,-0.0179918948583726,0.6843232830208466,0.0,138.28605330658252,-149.735092595171,0.0043742654080261,3.33592041400969,-0.0195435673205175,1.046223669069257,14.06498096795056,5645.831701474387,-0.0191509678179214,9.353787618917618,-0.0014804152884477,0.0,1.682941969615793,-0.0013997893472251,1222.8856964241522,-152.528827316592,-253.51918766056784,-1257.3796221310106,-0.0013048315984525,-0.034248128904055,6.281880475581134,3.335996759070485,-0.1030827571112935,0.0742134102537367,0.0214056175812768,0.021238371640944,5449.727799967001,0.944935139590464,-4850.899342688595,4564.1077639955065,0.5370945805010253,-0.1102854276932006,-3.3734929649303135e-05,6.774037742093706
-0.0017800718823413,-0.0023122817912316,0.0,-0.01906379240132,0.6768562604226925,0.0,114.07853790165044,-149.97066356689453,0.0066335121818512,3.533125597890796,-0.018035127451849,1.1143590302966546,14.416721684168085,5707.476051409556,-0.016763869295667,9.295068761026666,-0.0014683392218054,0.0,1.734846451188034,-0.0013958172301499,1126.485037186842,-152.54816265794847,-226.45468572423013,-1159.1215863959994,-0.0021303935195938,-0.0342489493306818,6.281054913659992,3.533488868198968,-0.0999082023506428,0.1237772463031699,0.0196846424702,0.0191659118186225,5517.749569564781,1.0195704564044636,-4850.899733130878,4564.11859804394,0.5476489542598292,-0.1045444913102936,-0.0001200719090291,6.8580616001950645
-0.0017017822041805,-0.0032784261128326,0.0,-0.0200743241715477,0.6694796069565531,0.0,96.66259054150656,-150.23323843184565,0.0087895053442663,3.731282356216679,-0.0165549276623804,1.183301494571772,14.736984696077297,5762.626462758715,-0.0145044933151214,9.220863550993204,-0.0014577374424277,0.0,1.7824147201228708,-0.0013934186979846,1033.319004043627,-152.63102856371455,-202.29549440471388,-1064.3375132489432,-0.0028199745405873,-0.0342506074971006,6.280365332638999,3.731927181185577,-0.0941626121631757,0.1706688278631554,0.0180064027262901,0.0171516031399192,5581.771948275419,1.093413405030303,-4850.90015692748,4564.130117226885,0.5537907339844017,-0.098097314190245,-0.000204086101623,6.93528158692252
-0.0016026527659291,-0.0041821648483301,0.0,-0.0210169192649597,0.6622196086446338,0.0,82.90813491145326,-150.56070694746342,0.0108086127256371,3.9303835249526298,-0.0151237390784949,1.2529806122830305,15.025188505469346,5810.779728981341,-0.012360239574484,9.135976102024864,-0.0014482359268471,0.0,1.8255278805210424,-0.0013916007962706,943.8111763526242,-152.73320860722933,-180.5665281020717,-972.8010895547668,-0.0033806746640379,-0.0342531364369414,6.279804632515549,3.931240310839781,-0.0878750133137117,0.2136981166183423,0.0163639009842517,0.0152204764717499,5641.384216088375,1.1657957183102006,-4850.900613779395,4564.1423290991925,0.5556254145297959,-0.0910341035764388,-0.0002930294739583,7.005090230847391
-0.0014842959933514,-0.0050148914466018,0.0,-0.0218859419726158,0.6551005515610036,0.0,70.8246197806073,-150.91354232292483,0.0126396686075203,4.130359215512879,-0.0137428801858865,1.3233194550016625,15.28078896561635,5851.523431295695,-0.0103560919722951,9.045185841782311,-0.0014390361300025,0.0,1.8640781719344528,-0.0013908030509707,858.2280050717186,-152.82709661398684,-160.7974541741993,-884.7125589257588,-0.0038258553927972,-0.0342565410239952,6.279359451786789,4.131387974028746,-0.0817945862924541,0.2526576412309603,0.0147808760843373,0.0133618468143554,5695.917821336798,1.2360235608814647,-4850.901103242112,4564.155240474415,0.5533721666296307,-0.0834531672851475,-0.0003781205783392,7.067036973684411
-0.0013492792281086,-0.0057776085183976,0.0,-0.0226769189818833,0.6481494441813442,0.0,59.82032940443023,-151.41435440630858,0.0141421678590935,4.331178082083244,-0.012462594091862,1.3942325775560769,15.503750187833582,5884.365156546672,-0.0085447539107119,8.952904598717497,-0.0014313574435324,0.0,1.8979692387111724,-0.0013922947780745,777.3631754887232,-152.98607586649013,-142.39015690255238,-802.2625621286539,-0.0041735766351177,-0.0342607532318578,6.279011730544468,4.332281347199404,-0.0766158069000477,0.2819990704699816,0.0133161017429455,0.0115488845257631,5744.5445657481305,1.3034547600480968,-4850.9016248156295,4564.168857349482,0.5473316190953692,-0.0754889927252974,-0.0004549911899999,7.120002599986769
-0.0012020315867295,-0.0064559275739077,0.0,-0.0233869581104653,0.6414207772153538,0.0,49.9600319502137,-151.99171580758406,0.0151250784965712,4.532933298782197,-0.0113624917352121,1.4656105774108896,15.693084658695168,5903.419714078359,-0.0070067171800077,8.866108885627643,-0.0014208729545145,0.0,1.927116370834386,-0.0013934405291791,704.3683832807225,-153.14773044415637,-125.01283453548736,-722.6603362141799,-0.0044284756659507,-0.0342656097152846,6.278756831513635,4.533957064810347,-0.0659190896164928,0.2989553628885738,0.0117835692798886,0.0098329923086382,5786.6035706290695,1.3673034866859637,-4850.902177935604,4564.183184775751,0.5382558647823206,-0.0673096547639549,-0.0005018871541091,7.159094494882828
-0.0010469713052367,-0.0070104378089751,0.0,-0.0240147126178975,0.6350161184995465,0.0,41.49820704088455,-152.6529399172893,0.0157905406538266,4.735183871718744,-0.0102607519526803,1.537300019650434,15.844609349519269,5906.529549700795,-0.0057809349406447,8.797912639258556,-0.0014117340448257,0.0,1.9514467156533184,-0.0013918107134369,637.3680256526062,-153.09957472197584,-108.10178969588095,-645.1251365357089,-0.0045784177498445,-0.0342705229655795,6.278606889429741,4.736485101593579,-0.0518528946251252,0.3035410651894136,0.0103866686678337,0.0081597062727555,5818.301233650046,1.4260558497595408,-4850.902761672408,4564.198226509458,0.5279238058596105,-0.059069541978736,-0.0004698217032894,7.18081925336254
-0.0008863943960559,-0.0074385565069301,0.0,-0.0245602833276274,0.6290232863789781,0.0,34.395648142334984,-153.06246706719344,0.0162381485646936,4.937579784026055,-0.0091739989678053,1.6091234532405143,15.961928250961144,5898.209843385996,-0.0047589523692141,8.752767013468688,-0.0014014494181186,0.0,1.9708994599769205,-0.0013881406631555,573.5911090516458,-153.02974417313294,-91.28764211116804,-573.9959156244158,-0.0046363995584513,-0.0342747071118369,6.278548907621135,4.939590830061442,-0.0393236404483587,0.3041051924987634,0.0091582543401794,0.00653726868546,5834.396850523418,1.479486453580427,-4850.903374816263,4564.213984648401,0.5172307321070632,-0.0508752081212624,-0.0003689599399534,7.185052863484321
-0.0007228131048019,-0.0077580927362648,0.0,-0.0250244049031256,0.6234422633773867,0.0,28.253344762126414,-153.29965468821285,0.0164139717270579,5.139928474095602,-0.008116809933224,1.680927640159188,16.051753230128767,5882.027373055807,-0.0038447875273778,8.727361607826593,-0.0013909921731456,0.0,1.985425982075177,-0.0013837314300903,512.3244498566676,-152.94970660959171,-74.49871519973098,-508.7274551296585,-0.0046252837640755,-0.034277681216225,6.278560023415511,5.142788814409822,-0.028523087609743,0.2968512734576567,0.0080123725598976,0.0049783447722964,5838.288411690925,1.5280268776653392,-4850.90401620797,4564.230459630415,0.5061107234887806,-0.0427807292303675,-0.0002363542853628,7.176591954620134
